,Air.Temperature,Geo.Potential.Height,SpecificHumidity,u.wind,v.wind,RainfallPrecipitated,pred_val,Output
7,282.6,3152,0.00158,-0.6,-4.1,NA,29.0209494,29.0209494
8,283,3164,0.00141,-0.6,-3.2,25.7,28.85015018,25.7
11,284.3,3142,0.00142,0.2,-1.3,20.9,28.6929437,20.9
15,283.6,3155,0.00113,0.1,-1,21.2,27.79562664,21.2
19,283.8,3133,0.00251,-0.8,2.2,29.1,30.74285774,29.1
26,283.3,3173,0.00397,3.9,1,32.7,36.61738003,32.7
27,283.6,3156,0.00337,4.1,-2.7,34.3,35.19707941,34.3
28,283.6,3166,0.00225,3.8,-0.6,33.6,31.77348048,33.6
40,284.2,3168,0.00293,4.2,4,28.5,33.37969239,28.5
43,284.2,3158,0.00386,2.9,-1.5,28.1,36.59777011,28.1
56,283.7,3148,0.00227,3.8,2.2,28.8,30.96496726,28.8
66,282.2,3144,0.00225,7.3,3.8,28.7,30.33472739,28.7
78,281.4,3161,0.00639,4.1,4.6,41,42.02001238,41
81,281.5,3149,0.00585,3.2,1.6,45.5,40.55519414,45.5
92,281.9,3171,0.00651,-2.6,1.1,36.5,42.55159894,36.5
94,282.8,3173,0.00596,-0.1,0.8,35.4,41.7562601,35.4
95,282.7,3152,0.00645,1.4,-1.1,36.7,43.13276298,36.7
114,283.7,3177,0.00136,-10.4,-5.9,20,28.51257314,20
121,285.8,3145,0.00222,-14.3,-1.9,21.5,29.99982481,21.5
126,284.9,3166,0.00368,-12.5,-0.6,29.5,34.43548651,29.5
133,284.8,3127,0.0022,-9.9,-5.9,28.3,30.27806029,28.3
139,282.5,3132,0.00667,-9,-2.3,31.3,42.04098793,31.3
144,283.5,3147,0.00914,-4,4,48.6,49.7216972,48.6
146,284.2,3153,0.00865,2.8,3.9,47.6,49.63841546,47.6
147,282.9,3127,0.01048,0.3,3.9,49.4,53.46543392,49.4
152,283.1,3177,0.01009,-2.9,-1.2,51.5,54.08452064,51.5
160,282.3,3159,0.00874,-0.7,-4.9,45.6,50.21060518,45.6
166,281.8,3158,0.00587,-0.7,-1.4,35,40.96018984,35
169,281.5,3132,0.00361,0,-0.2,33.8,33.43310947,33.8
175,283.7,3131,0.00328,-0.6,0,38.6,33.29816483,38.6
182,284.2,3165,0.00351,-5.1,3.3,35.2,33.9189009,35.2
183,283.5,3143,0.00436,-4.6,4,36,35.50565423,36
190,283.2,3162,0.0046,-3,2.9,43.8,36.94196435,43.8
208,283.7,3192,0.00408,-6.9,0.7,40.7,36.24301986,40.7
209,284.3,3166,0.00354,-5.7,-0.8,38.5,34.67332712,38.5
212,284.2,3187,0.0034,-8.5,-0.8,33.9,34.38097528,33.9
220,283.4,3169,0.00222,-2.7,-0.9,32.5,30.87991809,32.5
235,283,3173,0.00346,-10,-1.8,36.9,33.6482059,36.9
236,282.3,3197,0.00422,-9,-2.4,40.7,36.40046163,40.7
242,284.1,3190,0.00326,-2.9,-2.4,35.9,34.9893698,35.9
243,283.5,3167,0.00391,-5,-2.7,38.7,35.83572647,38.7
253,284.8,3154,0.00171,-3.8,-3.3,31.4,29.8765727,31.4
256,285.9,3167,0.00131,-3.2,-0.1,32.3,29.06300121,32.3
258,284.1,3166,0.00198,-3.4,-5.3,30.9,31.04223861,30.9
267,283.6,3133,0.00191,-8.3,-3.6,27.9,28.87607761,27.9
277,283.6,3157,0.00584,-5.4,0.3,44.9,40.75210481,44.9
288,284.4,3182,0.00522,-2,1.2,42.1,40.20165153,42.1
298,282.5,3180,0.00418,-3.6,-0.1,40.1,36.26644245,40.1
300,283.1,3169,0.00457,-0.7,-0.1,40.9,37.77662068,40.9
306,284.4,3181,0.00356,-3.8,-2.1,36.2,35.61154349,36.2
308,283.6,3172,0.00315,-6.1,-2.8,39.3,33.64691812,39.3
309,283.4,3151,0.00344,-6.3,-4.8,40.2,34.18827538,40.2
314,283.5,3181,0.00291,-3.5,-2.9,35.8,33.47635158,35.8
317,283.4,3155,0.00521,-7.8,-9.7,37.6,40.09898617,37.6
321,284.6,3154,0.00481,-10.4,-9.2,33.4,39.00923054,33.4
324,284,3166,0.00669,-6.6,-6.1,37.2,44.54811768,37.2
327,283.8,3144,0.00865,-3,-0.9,42.5,49.27591357,42.5
330,283,3165,0.00905,-2.8,-1.2,44.2,50.69875763,44.2
338,282.9,3192,0.00268,-3.7,0.1,35.7,32.2918817,35.7
348,283.2,3172,0.00394,-5,5.2,39.4,34.61625682,39.4
352,283.6,3180,0.00528,-4.5,-0.1,40,39.86538762,40
356,282.6,3180,0.00368,-5.4,-2.1,36.6,34.93821865,36.6
358,283.3,3186,0.00287,-0.9,-1.5,32,33.50206249,32
360,282.9,3179,0.00375,-6.5,-4.9,34.5,35.56949747,34.5
366,283.4,3159,0.00277,-10.2,-1.4,30.8,31.35603157,30.8
368,282.8,3166,0.00501,-10.7,-2.3,35.5,37.92868194,35.5
374,283.6,3195,0.0018,-7.6,-4.3,32.8,30.31034893,32.8
390,285.2,3168,0.00301,0,3.8,40.7,33.54452017,40.7
394,285.9,3162,0.00341,-1.1,0.5,37.3,35.27849587,37.3
407,284.1,3145,0.00314,-1.8,-0.4,42.6,33.32411647,42.6
408,283.5,3162,0.00324,-4.6,-3.7,43.5,33.95931681,43.5
411,284.2,3143,0.00316,-2.5,-3.4,39.9,33.78008033,39.9
413,284.4,3137,0.00297,-2,-5.8,38.2,33.61992313,38.2
417,283.7,3131,0.00362,-6,-5.8,41.7,34.5521615,41.7
420,282.6,3155,0.00944,-5.7,-4.4,47.5,51.56877843,47.5
421,283.1,3143,0.00944,-7.6,-6.6,46,51.60502258,46
423,282.8,3140,0.00755,-7.8,-4.3,46.4,45.44250051,46.4
446,284.5,3184,0.00704,-2.7,1.5,43.6,45.50085841,43.6
448,284.3,3174,0.00601,-3.6,-2.1,42.3,42.61353212,42.3
449,283.5,3153,0.00525,-3.7,-0.7,40.6,39.25993146,40.6
450,283.8,3173,0.00444,-2.7,-0.6,39.5,37.62682443,39.5
455,284.8,3138,0.0039,-3.7,-3.2,36.3,35.90443788,36.3
459,283.9,3130,0.00562,-3.8,-4.1,38.8,40.49410849,38.8
462,282.6,3148,0.00661,-6.4,-0.2,37.5,42.30024467,37.5
466,284.2,3175,0.00305,-2.7,1.5,37.8,33.42527211,37.8
472,285.2,3154,0.00388,-1.6,0.1,39.6,36.15114014,39.6
479,283.8,3137,0.00433,-9.6,-0.9,43.1,35.55877079,43.1
481,281.1,3139,0.00682,-8.6,-1.4,49.3,41.94314184,49.3
498,283.6,3168,0.00248,-3,-0.9,33.1,31.66780183,33.1
516,282.5,3174,0.0047,-2.8,-4.4,42,38.45490796,42
519,284.5,3145,0.00311,-5.6,-4.1,38.9,33.52932156,38.9
523,283.2,3141,0.00591,-6.2,-2.8,44.8,40.78767174,44.8
531,284.4,3137,0.00498,-7.7,-2.9,47.2,38.30751936,47.2
535,284,3136,0.00566,-3.4,-3.3,45.5,40.72591807,45.5
538,284.9,3171,0.00588,-5.9,-7,45.7,42.92993229,45.7
540,284.2,3166,0.00597,-7.8,-8.9,48.4,42.82725587,48.4
541,283.4,3135,0.00576,-6.9,-4.7,47.4,40.50728503,47.4
543,283.2,3134,0.00667,-6,-6,51.4,43.39719052,51.4
551,283.3,3093,0.00737,-2.4,-14.5,54.2,46.33652751,54.2
555,283,3114,0.00884,4.8,-9.8,53.2,51.2056772,53.2
559,284,3111,0.0075,4.7,-5.2,48.7,46.86588026,48.7
564,285.6,3148,0.0086,0.9,-6.1,52.6,51.38372067,52.6
568,284,3158,0.00922,1.8,-3.7,50.3,52.47093558,50.3
572,285.8,3169,0.0069,0,-3.1,44,46.39431249,44
576,283.7,3162,0.00441,-4.2,-2.7,38,37.37081443,38
579,283.5,3137,0.00369,-2.3,-5.1,37,35.18362879,37
586,283.9,3157,0.00379,-2.4,-3.9,30.1,35.94363862,30.1
589,284,3131,0.00404,-0.3,-1.5,33.2,35.94821081,33.2
590,284.6,3159,0.00445,-1.7,0.6,32.9,37.59050878,32.9
591,283.5,3136,0.00436,-1.1,-3.7,35.6,37.05125079,35.6
598,284.1,3165,0.00326,-0.6,-3,32.4,34.76039925,32.4
610,282.9,3152,0.0044,1.8,-0.6,34.9,37.16983748,34.9
615,283.6,3117,0.00405,5.3,-1.6,37.4,36.19256535,37.4
617,285.3,3120,0.0029,3.4,-2.3,35.1,33.50885734,35.1
619,284,3125,0.00416,2.7,-1.9,40.8,36.60483568,40.8
631,282.6,3130,0.0064,9.1,-3,44.5,43.70122205,44.5
632,283.3,3155,0.0066,2.2,0.1,43,43.81893743,43
636,284.8,3162,0.00791,6.2,1.6,46.3,48.77375322,46.3
639,284.4,3125,0.00817,11.4,5.3,50.5,48.49946157,50.5
645,284.7,3133,0.00605,16.4,4.4,45,43.40137743,45
649,284.8,3134,0.00524,13.6,0.3,40.6,41.40393409,40.6
652,284.5,3152,0.0049,8.1,-2.8,38.1,40.52162026,38.1
659,282.4,3141,0.0057,11.3,-5.5,42,42.52892639,42
670,284.1,3129,0.00442,9,-4.4,41.3,38.73997251,41.3
676,283.2,3116,0.00612,9.5,-3.9,40.5,42.9930305,40.5
677,283.5,3095,0.00614,5.5,-4.9,38,42.30515009,38
683,281,3095,0.0064,8.9,-5.7,47.6,42.53859876,47.6
686,282.4,3119,0.00704,9,-2,48.3,45.03983113,48.3
687,281.2,3090,0.00716,10.8,-3.5,51.7,44.61757462,51.7
700,282.4,3139,0.00715,14.7,-11,48.1,48.08300779,48.1
705,282.5,3103,0.00761,15.8,-7.2,49.1,48.09413353,49.1
707,282.7,3118,0.00761,14.5,-6.9,47.8,48.33992232,47.8
708,284.1,3136,0.00697,13.3,-7.7,44.6,47.50422542,44.6
710,283.5,3140,0.00592,10.7,-6.3,48,43.68893989,48
713,284.4,3118,0.00652,16.6,-4.2,46,45.71566835,46
723,282.5,3113,0.00699,22.2,-4.5,48.8,46.90784334,48.8
725,283.2,3121,0.00689,19.8,-5.7,46.7,47.00967607,46.7
729,283.6,3116,0.0082,20.2,-8.3,50.1,51.3879934,50.1
733,285,3111,0.00814,16.8,-7,44.3,51.049562,44.3
739,283.6,3126,0.00864,8.7,-4,50.8,50.73338503,50.8
745,284.3,3130,0.00612,11.5,-0.3,41.9,43.49468431,41.9
746,284.6,3148,0.00613,8.6,-1.2,45.2,43.87933418,45.2
749,285,3126,0.00679,11.3,-1.2,44.2,45.79314123,44.2
752,284.7,3138,0.00532,9,-4.9,39.7,41.95518388,39.7
758,284.4,3142,0.00853,13.8,0.1,45.6,51.14891402,45.6
774,285.1,3131,0.00621,7.8,-4.2,45.1,44.29954949,45.1
778,283.6,3136,0.00573,5.6,-3.5,44.2,41.95356844,44.2
786,283.5,3126,0.00803,1.8,2.6,45.9,46.91782641,45.9
795,282.7,3127,0.00603,4.5,2.3,44.1,41.11545519,44.1
805,282.9,3123,0.00803,10.6,-4.4,42.9,48.87012035,42.9
824,282.4,3123,0.00807,6.5,-2.9,50.9,47.9893082,50.9
840,283.1,3129,0.00717,2.9,-2.5,49.7,45.27281816,49.7
843,282.6,3111,0.00714,9.1,-1.1,46.7,45.08629985,46.7
855,285.1,3119,0.00423,13.4,-2.9,39.1,38.69545692,39.1
859,285.3,3102,0.00454,19.1,0,41.2,39.52942522,41.2
861,284.7,3097,0.00725,19.5,-1.7,47,47.43036363,47
866,283.6,3130,0.0082,14.8,-2.9,46.1,50.15012188,46.1
868,284.1,3130,0.00801,15.2,-3.8,44.5,50.01249127,44.5
876,283.2,3139,0.00743,9.6,-6.3,44.3,47.82389081,44.3
879,282.6,3118,0.00797,8.7,-3.5,43.8,48.04233803,43.8
881,281.6,3131,0.00755,6.9,-3.2,41.1,46.41082534,41.1
884,282.6,3150,0.00745,4.8,-2,45.3,46.56394981,45.3
886,283.8,3143,0.00785,6.2,-0.4,43.2,48.01047222,43.2
887,283.2,3120,0.00776,6.7,-0.8,45.7,47.03670061,45.7
893,282,3133,0.00715,4,-1.4,44.7,44.79061483,44.7
897,282.5,3125,0.00813,4.9,-3,45.8,48.06891587,45.8
907,283.4,3110,0.00488,8.1,-1.3,42.5,38.68004806,42.5
917,283.8,3099,0.00524,12.8,-6.9,36.4,41.16887702,36.4
919,283.9,3095,0.00447,9.3,-4.4,38.6,37.98670087,38.6
927,282.8,3101,0.00639,7.8,-2.6,43.5,42.80015209,43.5
934,283.3,3128,0.00715,3.3,0.3,46.9,44.86811185,46.9
936,281.8,3128,0.00745,5.6,-3.8,49.2,46.06065718,49.2
937,281.8,3112,0.00765,4.3,-3.4,46.2,46.01346455,46.2
942,282.3,3155,0.00617,6.9,-1.8,46.8,43.03663959,46.8
948,283.1,3135,0.00608,4.1,-4,41.3,42.62408427,41.3
953,283.6,3121,0.00685,6,-1.4,42.2,44.57362823,42.2
955,282.6,3119,0.00703,8.7,-3,45.4,45.2243951,45.4
974,280.6,3136,0.00705,5.5,-1.8,49.8,44.21490156,49.8
976,282.3,3137,0.00679,5.4,-3,48.4,44.41036677,48.4
978,282.9,3147,0.00643,5.9,-1.3,48.1,43.65274419,48.1
987,282.2,3128,0.00572,8.1,-1.8,47.7,41.15072896,47.7
989,282.4,3137,0.00539,8.7,0.6,42.9,40.17757066,42.9
996,281.2,3155,0.00754,5.7,-4,43.1,46.78196982,43.1
997,282.2,3145,0.00715,12.4,-2.8,41.6,46.49731001,41.6
1007,281.8,3115,0.00537,9.2,-3.1,42.4,39.97762443,42.4
1008,281.8,3144,0.00736,1.3,-5,45.3,45.8374041,45.3
1010,282.1,3150,0.00781,4.6,-3.8,46.8,47.67120192,46.8
1011,281.1,3122,0.00758,3.6,-2.9,49.9,45.57656771,49.9
1020,282.1,3134,0.00821,7.3,-3.8,43.7,48.79522275,43.7
1023,281.6,3111,0.00843,7.2,-4.7,46.5,48.78057362,46.5
1025,281.8,3116,0.00795,6.6,-5.8,44,47.68753613,44
1026,282.5,3145,0.00699,6.9,-8.2,41.5,46.33633039,41.5
1027,282,3116,0.00665,8.6,-6.5,44.4,44.33199746,44.4
1038,283.7,3144,0.00475,10.6,-0.3,42.4,39.44043822,42.4
1040,282.6,3140,0.00536,11.4,-4.9,45.3,41.50771862,45.3
1041,282.1,3113,0.00518,10.2,-2.8,42.6,39.58194143,42.6
1054,283.8,3147,0.00592,4.2,-5.8,43.9,43.07231187,43.9
1056,283.3,3148,0.00682,9.9,-7.1,47,46.47223343,47
1066,282.1,3129,0.007,13,-5.4,47.1,46.11801145,47.1
1072,282.8,3116,0.00607,7.6,-6.5,46.7,42.85179229,46.7
1076,282.6,3130,0.00599,5.9,-7.1,44.9,42.75761999,44.9
1084,282.6,3139,0.00797,1.4,-3.9,46.9,47.68833496,46.9
1088,282.4,3133,0.00653,2.9,-3.1,43,43.28348632,43
1089,283.2,3115,0.00602,4.7,-2.9,39.6,41.88811467,39.6
1092,283,3135,0.00486,8.7,-2.6,40.2,39.36225069,40.2
1093,282.3,3101,0.00453,7.3,-0.8,38.3,36.75609314,38.3
1094,280.9,3119,0.00458,6.8,-0.7,37.9,36.65495827,37.9
1095,281.1,3092,0.00465,6,0,38.5,36.0542504,38.5
1104,283.1,3140,0.00478,-0.9,-4.4,43.4,38.34961945,43.4
1109,281.4,3121,0.00648,-1.6,-1.1,43.3,41.48354487,43.3
1128,281.3,3141,0.00442,3.5,-2.9,36.8,36.84671499,36.8
1131,282.1,3119,0.00508,5.2,-3.1,37.4,38.8402857,37.4
1132,282.4,3154,0.00487,4.7,-4.3,36.4,39.36440124,36.4
1136,281.7,3144,0.00701,1.5,-3.3,40.3,44.51147244,40.3
1140,281.5,3139,0.00769,4.1,-2.5,46.4,46.50026514,46.4
1146,282.4,3132,0.00972,-0.7,0.1,48.5,51.63413179,48.5
1154,281.8,3137,0.00676,0.2,-2.4,41.1,43.32967636,41.1
1155,281,3116,0.00537,0.2,-2.3,41.8,38.35279203,41.8
1156,281.7,3139,0.00356,-1.9,-4.3,40.5,33.97846305,40.5
1160,282.1,3151,0.00356,-0.4,-2.4,40.9,34.3365675,40.9
1169,280.9,3111,0.00766,1.3,-1.9,44.4,44.98563152,44.4
1173,280.9,3103,0.00915,2.8,-1.7,48.3,49.3227097,48.3
1183,281.8,3115,0.00874,4.4,0.9,48.2,48.5948422,48.2
1189,281.1,3123,0.00824,5.3,0.1,40.4,47.26623716,40.4
1191,280.7,3112,0.00627,6.7,-1.3,40.1,41.4407568,40.1
1197,280.2,3104,0.0065,0.7,-2.1,35.3,41.05032474,35.3
1199,281.9,3117,0.00471,-1.3,-1.5,34.6,36.5103062,34.6
1200,280.7,3133,0.00434,-3.8,-2.8,35.9,35.18526833,35.9
1207,282.4,3124,0.00487,4.1,-1.1,39.8,38.009241,39.8
1215,281.5,3129,0.00876,-2.1,-2.4,49.6,48.57313291,49.6
1226,282.6,3147,0.00693,-4.5,-2.3,48.9,43.80675367,48.9
1229,280.3,3122,0.00869,-4.1,-4.2,52.1,47.70067445,52.1
1232,280.3,3146,0.007,-1.1,-8,47.9,44.35194379,47.9
1233,279.8,3126,0.00676,0.1,-4.4,46.6,42.48899572,46.6
1236,280.2,3140,0.00642,7.2,-2.9,47.3,42.68964685,47.3
1243,281,3127,0.0065,7.2,-1.2,41.4,42.67213096,41.4
1253,279.1,3126,0.00669,-3.3,-1.3,35.6,41.02422687,35.6
1255,279.9,3125,0.0055,0.4,0.9,36.1,37.97400179,36.1
1258,281.9,3161,0.00771,0.8,-0.3,37.7,46.49636433,37.7
1265,280.5,3129,0.00891,-3.4,1.9,42.7,47.69663321,42.7
1272,282.6,3163,0.00682,-5.3,-1,50.4,43.56647688,50.4
1278,283.4,3149,0.00444,-4.6,-2.2,43.6,36.86725628,43.6
1279,283,3118,0.00486,-6,-2.1,43.2,36.95091906,43.2
1280,282.3,3142,0.00494,-6.6,-1.7,43.7,37.33429152,43.7
1282,282.6,3133,0.00557,-9.8,-0.5,38.4,38.47963541,38.4
1283,282.7,3120,0.00508,-9.6,-2.9,39.2,37.18031833,39.2
1284,283.2,3144,0.00405,-8.5,-2.7,36.6,35.08585132,36.6
1292,281.2,3140,0.00792,-6.7,-5.8,42.1,46.21315155,42.1
1297,282.1,3123,0.00366,-5.4,0.7,37.1,32.77180912,37.1
1299,282,3126,0.00655,-5.2,-1.2,40.8,41.62901901,40.8
1302,282.1,3148,0.00832,-4.6,0,45.4,47.30204679,45.4
1306,282.4,3147,0.00756,-4.5,-0.1,43.9,45.20666619,43.9
1308,281.8,3137,0.00656,-2.9,0.5,44.8,41.86348056,44.8
1310,284.5,3138,0.00656,-5.2,-2,40.9,43.19248123,40.9
1313,282.5,3124,0.00407,-3.3,0.2,36.6,34.53154294,36.6
1322,282.8,3140,0.00447,-7,-1.3,22.8,36.00669494,22.8
1336,282.5,3160,0.00178,-6.2,-5.7,26.8,29.30261427,26.8
1362,281.5,3142,0.00273,-3.9,-3.4,34.2,31.12061106,34.2
1363,281.5,3122,0.00127,-3.7,-4.5,29.7,26.53928298,29.7
1367,281.7,3126,0.00356,-1.1,2,29.8,32.71969977,29.8
1373,281.6,3124,0.00471,1.2,-0.6,37.9,36.7288102,37.9
1380,282,3127,0.00172,3.7,-6.7,26.6,29.52685327,26.6
1385,282.4,3092,0.00818,1,-6.2,34.4,47.36761851,34.4
1386,282,3117,0.00695,0.5,-4.9,31.5,43.92576489,31.5
1387,282,3083,0.00625,3.4,-6.5,33.3,41.65808468,33.3
1405,281.2,3147,0.00697,-1.2,0.1,43.6,43.33931497,43.6
1406,281.9,3157,0.00611,-1,-2.4,39,41.80986362,39
1407,282.1,3136,0.00599,-1.8,-2.2,34.9,40.88359647,34.9
1416,281.6,3147,0.0097,-11.2,-1,40,50.4194051,40
1418,283.4,3152,0.00897,-9.6,-1.6,42.8,49.50009872,42.8
1426,283,3150,0.00195,-7.8,-3.4,27,29.18626725,27
1437,283.9,3122,0.00172,-5.9,0.3,20.1,27.84387744,20.1
1439,282.8,3122,0.00458,-4.9,-0.4,25.6,36.00312573,25.6
1442,281.3,3137,0.00625,-0.6,0.4,31.6,41.04693329,31.6
1444,280.7,3135,0.00664,-4.3,-1.7,33.5,41.74429886,33.5
1455,283.2,3135,0.00383,-7.9,-3,30.5,34.34161177,30.5
1460,281,3149,0.00255,-3.5,-1.1,25.3,30.21990397,25.3
